"edition_id","country_noc","participants"
12,"POL",41
12,"POR",33
12,"PUR",9
12,"RSA",33
12,"SGP",1
12,"SRI",7
12,"SUI",129
12,"SWE",148
12,"SYR",1
12,"TCH",64
12,"TTO",5
12,"TUR",56
12,"URU",39
12,"USA",226
12,"VEN",1
12,"YUG",47
13,"AHO",1
13,"ARG",97
13,"AUS",73
13,"AUT",101
13,"BAH",3
13,"BEL",88
13,"BER",6
13,"BRA",67
13,"BUL",45
13,"CAN",90
13,"CHI",44
13,"CHN",1
13,"CUB",18
13,"DEN",94
13,"EGY",77
13,"ESP",29
13,"FIN",228
13,"FRA",196
13,"GBR",214
13,"GER",178
13,"GHA",7
13,"GRE",31
13,"GUA",21
13,"GUY",1
13,"HKG",4
13,"HUN",149
13,"INA",4
13,"IND",40
13,"IRI",25
13,"IRL",45
13,"ISL",13
13,"ISR",15
13,"ITA",163
13,"JAM",9
13,"JPN",70
13,"KOR",20
13,"LBN",9
13,"LIE",2
13,"LUX",39
13,"MEX",54
13,"MON",7
13,"MYA",6
13,"NED",74
13,"NGR",10
13,"NOR",82
13,"NZL",11
13,"PAK",28
13,"PAN",5
13,"PHI",14
13,"POL",118
13,"POR",67
13,"PUR",22
13,"ROU",104
13,"RSA",55
13,"SAA",34
13,"SGP",5
13,"SRI",6
13,"SUI",122
13,"SWE",175
13,"TCH",84
13,"THA",10
13,"TTO",2
13,"TUR",33
13,"URS",242
13,"URU",21
13,"USA",232
13,"VEN",42
13,"VNM",10
13,"YUG",68
14,"AFG",1
14,"ARG",25
14,"AUS",224
14,"AUT",28
14,"BAH",3
14,"BEL",40
14,"BER",1
14,"BRA",30
14,"BUL",21
14,"CAN",69
14,"CHI",22
14,"COL",32
14,"CUB",8
14,"DEN",23
14,"ETH",15
14,"FIJ",5
14,"FIN",60
14,"FRA",112
14,"GBR",147
14,"GER",115
14,"GRE",12
14,"GUY",4
14,"HKG",2
14,"HUN",96
14,"INA",10
14,"IND",27
14,"IRI",17
14,"IRL",13
14,"ISL",2
14,"ISR",3
14,"ITA",93
14,"JAM",7
14,"JPN",89
14,"KEN",13
14,"KOR",26
14,"LBR",7
14,"LUX",12
14,"MAL",17
14,"MEX",26
14,"MYA",10
14,"NBO",2
14,"NGR",11
14,"NOR",14
14,"NZL",28
14,"PAK",47
14,"PER",8
14,"PHI",29
14,"POL",61
14,"POR",2
14,"PUR",13
14,"ROU",38
14,"RSA",52
14,"SGP",12
14,"SRI",3
14,"SWE",83
14,"TCH",61
14,"THA",17
14,"TPE",10
14,"TTO",7
14,"TUR",13
14,"UGA",3
14,"URS",217
14,"URU",11
14,"USA",229
14,"VEN",23
14,"VNM",7
14,"YUG",15
15,"AFG",13
15,"AHO",5
15,"ARG",60
15,"AUS",139
15,"AUT",97
15,"BAH",8
15,"BEL",71
15,"BER",4
15,"BRA",38
15,"BUL",80
15,"CAN",71
15,"CHI",9
15,"COL",16
15,"CUB",11
15,"DEN",54
15,"ESP",105
15,"ETH",11
15,"FIJ",2
15,"FIN",107
15,"FRA",162
15,"GBR",194
15,"GER",238
15,"GHA",13
15,"GRE",40
15,"GUY",5
15,"HAI",1
15,"HKG",4
15,"HUN",143
15,"INA",23
15,"IND",29
15,"IRI",23
15,"IRL",50
15,"IRQ",21
15,"ISL",9
15,"ISR",24
15,"ITA",188
15,"JPN",124
15,"KEN",11
15,"KOR",37
15,"LBN",18
15,"LBR",5
15,"LIE",5
15,"LUX",50
15,"MAL",9
15,"MAR",51
15,"MEX",62
15,"MLT",10
15,"MON",9
15,"MYA",9
15,"NED",71
15,"NGR",11
15,"NOR",34
15,"NZL",23
15,"PAK",33
15,"PAN",6
15,"PER",12
15,"PHI",28
15,"POL",148
15,"POR",61
15,"PUR",16
15,"RHO",12
15,"ROU",90
15,"RSA",42
15,"SGP",3
15,"SMR",10
15,"SRI",5
15,"SUD",10
15,"SUI",114
15,"SWE",128
15,"TCH",83
15,"THA",18
15,"TPE",16
15,"TUN",32
