"year","code","gdppc"
1900,"BDI",595
1900,"BEL",5947
1900,"BEN",1627
1900,"BER",1713.75735755696
1900,"BHU",997.547186813762
1900,"BIH",1894
1900,"BIZ",1713.75735755696
1900,"BLR",8341
1900,"BOH",2015.99376130863
1900,"BOL",1462
1900,"BOT",489
1900,"BRA",874
1900,"BRN",3354
1900,"BRU",997.547186813762
1900,"BUL",1597
1900,"BUR",756
1900,"CAF",1307
1900,"CAM",768
1900,"CAN",4640
1900,"CAY",1713.75735755696
1900,"CGO",1170.33333333333
1900,"CHA",815
1900,"CHI",3386
1900,"CHN",972
1900,"CIV",585.669565217391
1900,"CMR",1070
1900,"COD",909
1900,"COK",997.547186813762
1900,"COL",1089
1900,"COM",534
1900,"COR",1030.50469740128
1900,"CPV",1006
1900,"CRC",2589
1900,"CRO",2738
1900,"CRT",4724.00747161619
1900,"CUB",1691.4
1900,"CYP",2885
1900,"CZE",8748
1900,"DEN",4809
1900,"DJI",3459
1900,"DMA",980
1900,"DOM",1637
1900,"ECU",1098
1900,"EGY",1529.18604651163
1900,"ERI",604
1900,"ESA",1487
1900,"ESP",2672.39052813789
1900,"EST",6367.84745762712
1900,"ETH",622
1900,"FIJ",997.547186813762
1900,"FIN",2659
1900,"FRA",4584
1900,"FRG",4724.00747161619
1900,"FSM",997.547186813762
1900,"GAB",2958
1900,"GAM",982
1900,"GBR",7594
1900,"GBS",462
1900,"GDR",4724.00747161619
1900,"GEO",9456
1900,"GEQ",797
1900,"GER",4758
1900,"GHA",1126.66310160428
1900,"GRE",1972
1900,"GRN",1713.75735755696
1900,"GUA",2028
1900,"GUI",520
1900,"GUM",997.547186813762
1900,"GUY",1713.75735755696
1900,"HAI",1780
1900,"HKG",2022.04651162791
1900,"HON",1957
1900,"HUN",2681
1900,"INA",1151
1900,"IND",955
1900,"IRI",1178.55813953488
1900,"IRL",3897.83720930233
1900,"IRQ",1178.55813953488
1900,"ISL",2289.47334642053
1900,"ISR",4490
1900,"ISV",1713.75735755696
1900,"ITA",3264
1900,"IVB",1713.75735755696
1900,"JAM",926
1900,"JOR",1449.48837209302
1900,"JPN",2123.25060819
1900,"KAZ",12154
1900,"KEN",652.138248847926
1900,"KGZ",5941
1900,"KIR",997.547186813762
1900,"KOR",997.547186813762
1900,"KOS",2015.99376130863
1900,"KSA",917.604651162791
1900,"KUW",46031
1900,"LAO",697
1900,"LAT",12506
1900,"LBA",620
1900,"LBN",2070.04651162791
1900,"LBR",1401.09040590406
1900,"LCA",1231
1900,"LES",631
1900,"LIE",2015.99376130863
1900,"LTU",12103
1900,"LUX",13378
1900,"MAD",1516
1900,"MAL",997.547186813762
1900,"MAR",1060.95348837209
1900,"MAS",817.743016759777
1900,"MAW",424.894751260136
1900,"MDA",8552
1900,"MDV",997.547186813762
1900,"MEX",1822
1900,"MGL",677
1900,"MHL",997.547186813762
1900,"MKD",2150
1900,"MLI",728
1900,"MLT",1573
1900,"MNE",1784
1900,"MON",4724.00747161619
1900,"MOZ",1806
1900,"MRI",3942
1900,"MTN",679
1900,"MYA",1103.96774193548
1900,"NAM",4009
1900,"NBO",997.547186813762
1900,"NCA",2007
1900,"NED",5306
1900,"NEP",800.767441860465
1900,"NFL",7740.85045070605
1900,"NGR",1024.70119521912
1900,"NIG",983
1900,"NOR",3249
1900,"NRU",997.547186813762
1900,"NZL",6851
1900,"OMA",993
1900,"PAK",1025
1900,"PAN",2276
1900,"PAR",2858
1900,"PER",1084
1900,"PHI",1068.125
1900,"PLE",1772.62790697674
1900,"PLW",997.547186813762
1900,"PNG",997.547186813762
1900,"POL",2700
1900,"POR",2075
1900,"PRK",993.252641589307
1900,"PUR",3416
1900,"QAT",48436
1900,"RHO",1587.37195870295
1900,"ROC",4724.00747161619
1900,"ROU",1406.82067086439
1900,"RSA",1494
1900,"RUS",1049.18078743003
1900,"RWA",1020
1900,"SAA",4724.00747161619
1900,"SAM",997.547186813762
1900,"SCG",4724.00747161619
1900,"SEN",2007
1900,"SEY",2632
1900,"SGP",2206
1900,"SKN",1713.75735755696
1900,"SLE",902
1900,"SLO",3934
1900,"SMR",4724.00747161619
1900,"SOL",997.547186813762
1900,"SOM",1587.37195870295
1900,"SRB",2032
1900,"SRI",2056
1900,"SSD",1309
1900,"STP",997.547186813762
1900,"SUD",1587.37195870295
1900,"SUI",6611.77821356305
1900,"SUR",1713.75735755696
1900,"SVK",11815
1900,"SWE",3320
1900,"SWZ",604
1900,"SYR",1869.74418604651
1900,"TAN",676
1900,"TCH",2756
1900,"TGA",997.547186813762
1900,"THA",1289.5652173913
1900,"TJK",6527
1900,"TKM",7693
1900,"TLS",997.547186813762
1900,"TOG",870
1900,"TPE",997.547186813762
1900,"TTO",5856
1900,"TUN",1286.67441860465
1900,"TUR",1379.88372093023
1900,"TUV",997.547186813762
1900,"UAE",25182
1900,"UAR",1342.61219849511
1900,"UGA",803.687776477192
1900,"UKR",7849
1900,"URS",4724.00747161619
1900,"URU",3387
1900,"USA",8037.5712
1900,"UZB",8125
1900,"VAN",997.547186813762
1900,"VEN",1846
1900,"VIE",1051.97674418605
1900,"VIN",1713.75735755696
1900,"VNM",997.547186813762
1900,"WIF",997.547186813762
1900,"YAR",1587.37195870295
1900,"YEM",1452
1900,"YMD",1587.37195870295
1900,"YUG",1323
1900,"ZAM",582.012102874432
1900,"ZIM",921.007132667618
1904,"AFG",1156
1904,"AHO",1904.00251127381
1904,"ALB",1152.4
1904,"ALG",1704.55813953488
1904,"AND",2105.86741207661
1904,"ANG",1677
1904,"ANT",1904.00251127381
1904,"ANZ",8386.38663865298
1904,"ARG",5086
1904,"ARM",9806
1904,"ARU",1904.00251127381
1904,"ASA",1056.23281073253
1904,"AUS",6846
1904,"AUT",4712
1904,"AZE",7068
1904,"BAH",1904.00251127381
1904,"BAN",861
1904,"BAR",3390
1904,"BDI",595
1904,"BEL",6091
1904,"BEN",1627
1904,"BER",1904.00251127381
1904,"BHU",1056.23281073253
1904,"BIH",1894
1904,"BIZ",1904.00251127381
1904,"BLR",8341
1904,"BOH",2105.86741207661
1904,"BOL",1460
1904,"BOT",489
1904,"BRA",918
1904,"BRN",3354
1904,"BRU",1056.23281073253
1904,"BUL",1697
1904,"BUR",756
1904,"CAF",1307
1904,"CAM",768
1904,"CAN",5228
1904,"CAY",1904.00251127381
1904,"CGO",1170.33333333333
1904,"CHA",815
1904,"CHI",3647
1904,"CHN",947.636363636364
1904,"CIV",586.281739130435
1904,"CMR",1070
1904,"COD",909
1904,"COK",1056.23281073253
1904,"COL",1066
1904,"COM",534
1904,"COR",1058.52435001891
1904,"CPV",1006
1904,"CRC",2589
1904,"CRO",2738
1904,"CRT",4882.94321164711
1904,"CUB",1809
1904,"CYP",2885
1904,"CZE",8748
1904,"DEN",5302
1904,"DJI",3459
1904,"DMA",980
1904,"DOM",1637
1904,"ECU",1189
1904,"EGY",1573.74418604651
1904,"ERI",604
1904,"ESA",1487
1904,"ESP",2657.07890709911
1904,"EST",6775.03389830509
1904,"ETH",622
1904,"FIJ",1056.23281073253
1904,"FIN",2759
1904,"FRA",4538
1904,"FRG",4882.94321164711
1904,"FSM",1056.23281073253
1904,"GAB",2958
1904,"GAM",982
1904,"GBR",7455
1904,"GBS",462
1904,"GDR",4882.94321164711
1904,"GEO",9456
1904,"GEQ",797
1904,"GER",4914
1904,"GHA",1255.74331550802
1904,"GRE",2498
1904,"GRN",1904.00251127381
1904,"GUA",2028
1904,"GUI",520
1904,"GUM",1056.23281073253
1904,"GUY",1904.00251127381
1904,"HAI",1780
1904,"HKG",2124.18604651163
1904,"HON",1957
1904,"HUN",2883.8
1904,"INA",1138
1904,"IND",1050
1904,"IRI",1208.23255813953
1904,"IRL",4040.3488372093
1904,"IRQ",1208.23255813953
1904,"ISL",2460.79702132219
1904,"ISR",4490
1904,"ISV",1904.00251127381
1904,"ITA",3461
1904,"IVB",1904.00251127381
1904,"JAM",940.769230769231
1904,"JOR",1493.95348837209
1904,"JPN",2178.9910617
1904,"KAZ",12154
1904,"KEN",652.138248847926
1904,"KGZ",5941
1904,"KIR",1056.23281073253
1904,"KOR",1056.23281073253
1904,"KOS",2105.86741207661
1904,"KSA",929.418604651163
1904,"KUW",46031
1904,"LAO",697
1904,"LAT",12506
1904,"LBA",620
1904,"LBN",2144.18604651163
1904,"LBR",1467.94741697417
1904,"LCA",1231
1904,"LES",631
1904,"LIE",2105.86741207661
1904,"LTU",12103
1904,"LUX",13378
1904,"MAD",1516
1904,"MAL",1056.23281073253
1904,"MAR",1082.81395348837
1904,"MAS",822.519553072626
1904,"MAW",424.894751260136
1904,"MDA",8552
1904,"MDV",1056.23281073253
1904,"MEX",1992
1904,"MGL",677
1904,"MHL",1056.23281073253
1904,"MKD",2150
1904,"MLI",728
1904,"MLT",1573
1904,"MNE",1784
1904,"MON",4882.94321164711
1904,"MOZ",1806
1904,"MRI",3942
1904,"MTN",679
1904,"MYA",986.8
1904,"NAM",4009
1904,"NBO",1056.23281073253
1904,"NCA",2007
1904,"NED",5541
1904,"NEP",822.06976744186
1904,"NFL",8386.38663865298
1904,"NGR",988.04780876494
1904,"NIG",983
1904,"NOR",3288
1904,"NRU",1056.23281073253
1904,"NZL",7285
1904,"OMA",993
1904,"PAK",1025
1904,"PAN",2276
1904,"PAR",2858
1904,"PER",1299
1904,"PHI",1082
1904,"PLE",1847.51162790698
1904,"PLW",1056.23281073253
1904,"PNG",1056.23281073253
1904,"POL",2697.6
1904,"POR",2039
1904,"PRK",1038.01983332901
1904,"PUR",3416
1904,"QAT",48436
1904,"RHO",1627.55488653001
1904,"ROC",4882.94321164711
1904,"ROU",1100.29389054597
1904,"RSA",2571
1904,"RUS",1151.70384141699
1904,"RWA",1020
1904,"SAA",4882.94321164711
1904,"SAM",1056.23281073253
1904,"SCG",4882.94321164711
1904,"SEN",2007
1904,"SEY",2632
1904,"SGP",1910
1904,"SKN",1904.00251127381
1904,"SLE",902
1904,"SLO",3934
1904,"SMR",4882.94321164711
1904,"SOL",1056.23281073253
1904,"SOM",1627.55488653001
1904,"SRB",2032
1904,"SRI",1937
1904,"SSD",1309
1904,"STP",1056.23281073253
1904,"SUD",1627.55488653001
1904,"SUI",6879.57492621256
1904,"SUR",1904.00251127381
1904,"SVK",11815
1904,"SWE",3599
1904,"SWZ",604
1904,"SYR",1931.97674418605
1904,"TAN",676
1904,"TCH",2923.2
1904,"TGA",1056.23281073253
1904,"THA",1305.39130434783
1904,"TJK",6527
1904,"TKM",7693
1904,"TLS",1056.23281073253
1904,"TOG",870
1904,"TPE",1056.23281073253
1904,"TTO",5856
1904,"TUN",1323.6976744186
1904,"TUR",1408.53488372093
1904,"TUV",1056.23281073253
1904,"UAE",25182
1904,"UAR",1376.9305720291
1904,"UGA",803.687776477192
1904,"UKR",7849
1904,"URS",4882.94321164711
1904,"URU",4015
1904,"USA",8663.6584
1904,"UZB",8125
1904,"VAN",1056.23281073253
1904,"VEN",1788
1904,"VIE",1084.90697674419
1904,"VIN",1904.00251127381
1904,"VNM",1056.23281073253
1904,"WIF",1056.23281073253
1904,"YAR",1627.55488653001
1904,"YEM",1452
1904,"YMD",1627.55488653001
1904,"YUG",1414.2
1904,"ZAM",582.012102874432
1904,"ZIM",921.007132667618
1908,"AFG",1156
1908,"AHO",2094.24766499067
1908,"ALB",1212.8
1908,"ALG",1770.97674418605
1908,"AND",2195.7410628446
1908,"ANG",1677
1908,"ANT",2094.24766499067
1908,"ANZ",9031.9228265999
1908,"ARG",5829
1908,"ARM",9806
1908,"ARU",2094.24766499067
1908,"ASA",1114.91843465131
1908,"AUS",7481
1908,"AUT",5292
1908,"AZE",7068
1908,"BAH",2094.24766499067
1908,"BAN",861
1908,"BAR",3390
1908,"BDI",595
1908,"BEL",6269
1908,"BEN",1627
1908,"BER",2094.24766499067
1908,"BHU",1114.91843465131
1908,"BIH",1894
1908,"BIZ",2094.24766499067
1908,"BLR",8341
1908,"BOH",2195.7410628446
1908,"BOL",1616
1908,"BOT",489
1908,"BRA",945
1908,"BRN",3354
1908,"BRU",1114.91843465131
1908,"BUL",1776
1908,"BUR",756
1908,"CAF",1307
1908,"CAM",768
1908,"CAN",5694
1908,"CAY",2094.24766499067
1908,"CGO",1170.33333333333
1908,"CHA",815
1908,"CHI",4020
1908,"CHN",923.272727272727
1908,"CIV",586.893913043478
1908,"CMR",1070
1908,"COD",909
1908,"COK",1114.91843465131
1908,"COL",1160
1908,"COM",534
1908,"COR",1086.54400263654
1908,"CPV",1006
1908,"CRC",2589
1908,"CRO",2738
1908,"CRT",5041.87895167803
1908,"CUB",1836
1908,"CYP",2885
1908,"CZE",8748
1908,"DEN",5662
1908,"DJI",3459
1908,"DMA",980
1908,"DOM",1637
1908,"ECU",1299
1908,"EGY",1618.3023255814
1908,"ERI",604
1908,"ESA",1487
1908,"ESP",2912.79696893228
1908,"EST",7182.22033898305
1908,"ETH",622
1908,"FIJ",1114.91843465131
1908,"FIN",2915
1908,"FRA",4854
1908,"FRG",5041.87895167803
1908,"FSM",1114.91843465131
1908,"GAB",2958
1908,"GAM",982
1908,"GBR",7461
1908,"GBS",462
1908,"GDR",5041.87895167803
1908,"GEO",9456
1908,"GEQ",797
1908,"GER",5187
1908,"GHA",1231.83957219251
1908,"GRE",2550
1908,"GRN",2094.24766499067
1908,"GUA",2028
1908,"GUI",520
1908,"GUM",1114.91843465131
1908,"GUY",2094.24766499067
1908,"HAI",1780
1908,"HKG",2226.32558139535
1908,"HON",1957
1908,"HUN",3086.6
1908,"INA",1160
1908,"IND",987
1908,"IRI",1237.90697674419
1908,"IRL",4182.86046511628
1908,"IRQ",1237.90697674419
1908,"ISL",2766.63890147159
1908,"ISR",4490
1908,"ISV",2094.24766499067
1908,"ITA",3795
1908,"IVB",2094.24766499067
1908,"JAM",955.538461538462
1908,"JOR",1538.41860465116
1908,"JPN",2356.91760126
1908,"KAZ",12154
1908,"KEN",629.815668202765
1908,"KGZ",5941
1908,"KIR",1114.91843465131
1908,"KOR",1114.91843465131
1908,"KOS",2195.7410628446
1908,"KSA",941.232558139535
1908,"KUW",46031
1908,"LAO",697
1908,"LAT",12506
1908,"LBA",620
1908,"LBN",2218.32558139535
1908,"LBR",1590.03413284133
1908,"LCA",1231
1908,"LES",631
1908,"LIE",2195.7410628446
1908,"LTU",12103
1908,"LUX",13378
1908,"MAD",1516
1908,"MAL",1114.91843465131
1908,"MAR",1104.67441860465
1908,"MAS",983.966480446928
1908,"MAW",417.084185979619
1908,"MDA",8552
1908,"MDV",1114.91843465131
1908,"MEX",2203
1908,"MGL",677
1908,"MHL",1114.91843465131
1908,"MKD",2150
1908,"MLI",728
1908,"MLT",1573
1908,"MNE",1784
1908,"MON",5041.87895167803
1908,"MOZ",1806
1908,"MRI",3942
1908,"MTN",679
1908,"MYA",928.4
1908,"NAM",4009
1908,"NBO",1114.91843465131
1908,"NCA",2007
1908,"NED",5628
1908,"NEP",843.372093023256
1908,"NFL",9031.9228265999
1908,"NGR",1002.39043824701
1908,"NIG",983
1908,"NOR",3612
1908,"NRU",1114.91843465131
1908,"NZL",7707
1908,"OMA",993
1908,"PAK",1025
1908,"PAN",2504
1908,"PAR",2858
1908,"PER",1549
1908,"PHI",1235
1908,"PLE",1922.39534883721
1908,"PLW",1114.91843465131
1908,"PNG",1114.91843465131
1908,"POL",2695.2
1908,"POR",1943
1908,"PRK",1082.78702506872
1908,"PUR",3416
1908,"QAT",48436
1908,"RHO",1667.73781435708
1908,"ROC",5041.87895167803
1908,"ROU",1441.13337015376
1908,"RSA",2283
1908,"RUS",973.489308271247
1908,"RWA",1020
1908,"SAA",5041.87895167803
1908,"SAM",1114.91843465131
1908,"SCG",5041.87895167803
1908,"SEN",2007
1908,"SEY",2632
1908,"SGP",2488
1908,"SKN",2094.24766499067
1908,"SLE",902
1908,"SLO",3934
1908,"SMR",5041.87895167803
1908,"SOL",1114.91843465131
1908,"SOM",1667.73781435708
1908,"SRB",2032
1908,"SRI",1946
1908,"SSD",1309
1908,"STP",1114.91843465131
1908,"SUD",1667.73781435708
1908,"SUI",7507.70959998377
1908,"SUR",2094.24766499067
1908,"SVK",11815
1908,"SWE",3959
1908,"SWZ",604
1908,"SYR",1994.20930232558
1908,"TAN",676
1908,"TCH",3090.4
1908,"TGA",1114.91843465131
1908,"THA",1321.21739130435
1908,"TJK",6527
1908,"TKM",7693
1908,"TLS",1114.91843465131
1908,"TOG",870
1908,"TPE",1114.91843465131
1908,"TTO",5856
1908,"TUN",1360.72093023256
1908,"TUR",1437.18604651163
1908,"TUV",1114.91843465131
1908,"UAE",25182
1908,"UAR",1411.24894556308
1908,"UGA",707.50607503266
1908,"UKR",7849
1908,"URS",5041.87895167803
1908,"URU",4355
1908,"USA",8975.97607347158
1908,"UZB",8125
1908,"VAN",1114.91843465131
1908,"VEN",1693
1908,"VIE",1117.83720930233
1908,"VIN",2094.24766499067
1908,"VNM",1114.91843465131
1908,"WIF",1114.91843465131
1908,"YAR",1667.73781435708
1908,"YEM",1452
1908,"YMD",1667.73781435708
1908,"YUG",1505.4
1908,"ZAM",582.012102874432
1908,"ZIM",921.007132667618
1912,"AFG",1156
1912,"AHO",2217.96990345723
1912,"ALB",1276.33333333333
1912,"ALG",1837.39534883721
1912,"AND",2067.53975357254
1912,"ANG",1677
1912,"ANT",2217.96990345723
1912,"ANZ",9432.03728856406
1912,"ARG",6223
1912,"ARM",9806
1912,"ARU",2217.96990345723
1912,"ASA",1138.91434136359
1912,"AUS",8126
1912,"AUT",5587
1912,"AZE",7068
1912,"BAH",2217.96990345723
1912,"BAN",861
1912,"BAR",3390
1912,"BDI",595
1912,"BEL",6704
1912,"BEN",1627
1912,"BER",2217.96990345723
1912,"BHU",1138.91434136359
1912,"BIH",1894
1912,"BIZ",2217.96990345723
1912,"BLR",8341
1912,"BOH",2067.53975357254
1912,"BOL",1787
1912,"BOT",489
1912,"BRA",1042
1912,"BRN",3354
1912,"BRU",1138.91434136359
1912,"BUL",1787.77777777778
1912,"BUR",756
1912,"CAF",1307
1912,"CAM",768
1912,"CAN",6977
1912,"CAY",2217.96990345723
1912,"CGO",1170.33333333333
1912,"CHA",815
1912,"CHI",4806
1912,"CHN",945
1912,"CIV",587.506086956522
1912,"CMR",1070
1912,"COD",909
1912,"COK",1138.91434136359
1912,"COL",1317
1912,"COM",534
1912,"COR",1090.4380672581
1912,"CPV",1006
1912,"CRC",2589
1912,"CRO",2738
1912,"CRT",5070.88406653839
1912,"CUB",1940
1912,"CYP",2885
1912,"CZE",8748
1912,"DEN",6076
1912,"DJI",3459
1912,"DMA",980
1912,"DOM",1637
1912,"ECU",1462
1912,"EGY",1662.86046511628
1912,"ERI",604
1912,"ESA",1487
1912,"ESP",2911.0817455801
1912,"EST",7589.40677966102
1912,"ETH",622
1912,"FIJ",1138.91434136359
1912,"FIN",3223
1912,"FRA",5601
1912,"FRG",5070.88406653839
1912,"FSM",1138.91434136359
1912,"GAB",2958
1912,"GAM",982
1912,"GBR",7954
1912,"GBS",462
1912,"GDR",5070.88406653839
1912,"GEO",9456
1912,"GEQ",797
1912,"GER",5617
1912,"GHA",1274.68924539513
1912,"GRE",3135
1912,"GRN",2217.96990345723
1912,"GUA",2028
1912,"GUI",520
1912,"GUM",1138.91434136359
1912,"GUY",2217.96990345723
1912,"HAI",1780
1912,"HKG",2328.46511627907
1912,"HON",1957
1912,"HUN",3292
1912,"INA",1315
1912,"IND",1098
1912,"IRI",1267.58139534884
1912,"IRL",4325.37209302326
1912,"IRQ",1267.58139534884
1912,"ISL",3067.85559309246
1912,"ISR",4490
1912,"ISV",2217.96990345723
1912,"ITA",3875
1912,"IVB",2217.96990345723
1912,"JAM",970.307692307692
1912,"JOR",1582.88372093023
1912,"JPN",2419.70949012
1912,"KAZ",12154
1912,"KEN",687.216589861751
1912,"KGZ",5941
1912,"KIR",1138.91434136359
1912,"KOR",1138.91434136359
1912,"KOS",2067.53975357254
1912,"KSA",953.046511627907
1912,"KUW",46031
1912,"LAO",697
1912,"LAT",12506
1912,"LBA",620
1912,"LBN",2292.46511627907
1912,"LBR",1683.05258302583
1912,"LCA",1231
1912,"LES",631
1912,"LIE",2067.53975357254
1912,"LTU",12103
1912,"LUX",13378
1912,"MAD",1516
1912,"MAL",1138.91434136359
1912,"MAR",1126.53488372093
1912,"MAS",1093.82681564246
1912,"MAW",438.953768765067
1912,"MDA",8552
1912,"MDV",1138.91434136359
1912,"MEX",2131
1912,"MGL",677
1912,"MHL",1138.91434136359
1912,"MKD",2150
1912,"MLI",728
1912,"MLT",1573
1912,"MNE",1784
1912,"MON",5070.88406653839
1912,"MOZ",1806
1912,"MRI",3942
1912,"MTN",679
1912,"MYA",1030
1912,"NAM",4009
1912,"NBO",1138.91434136359
1912,"NCA",2007
1912,"NED",6245
1912,"NEP",864.674418604651
1912,"NFL",9432.03728856406
1912,"NGR",988.04780876494
1912,"NIG",983
1912,"NOR",4050
1912,"NRU",1138.91434136359
1912,"NZL",8303
1912,"OMA",993
1912,"PAK",1025
1912,"PAN",2930
1912,"PAR",2858
1912,"PER",1613
1912,"PHI",1452
1912,"PLE",1997.27906976744
1912,"PLW",1138.91434136359
1912,"PNG",1138.91434136359
1912,"POL",2746
1912,"POR",2004
1912,"PRK",1154.52190820641
1912,"PUR",3416
1912,"QAT",48436
1912,"RHO",1669.76896992117
