"edition_id","year","code","participants"
11,1936,"AFG",3
11,1936,"ARG",40
11,1936,"AUS",25
11,1936,"AUT",205
11,1936,"BEL",113
11,1936,"BER",7
11,1936,"BOL",2
11,1936,"BRA",55
11,1936,"BUL",28
11,1936,"CAN",94
11,1936,"CHI",40
11,1936,"CHN",37
11,1936,"COL",7
11,1936,"CRC",1
11,1936,"DEN",102
11,1936,"EGY",38
11,1936,"EST",26
11,1936,"FIN",93
11,1936,"FRA",165
11,1936,"GBR",153
11,1936,"GER",322
11,1936,"GRE",47
11,1936,"HUN",149
11,1936,"IND",9
11,1936,"ISL",5
11,1936,"ITA",189
11,1936,"JPN",177
11,1936,"LAT",26
11,1936,"LIE",6
11,1936,"LUX",40
11,1936,"MEX",19
11,1936,"MLT",5
11,1936,"MON",8
11,1936,"NED",133
11,1936,"NOR",51
11,1936,"NZL",7
11,1936,"PER",31
11,1936,"PHI",22
11,1936,"POL",98
11,1936,"POR",18
11,1936,"ROU",45
11,1936,"RSA",36
11,1936,"SUI",144
11,1936,"SWE",144
11,1936,"TCH",161
11,1936,"TUR",32
11,1936,"URU",19
11,1936,"USA",269
11,1936,"YUG",85
12,1948,"AFG",2
12,1948,"ARG",150
12,1948,"AUS",66
12,1948,"AUT",126
12,1948,"BEL",101
12,1948,"BER",14
12,1948,"BRA",65
12,1948,"CAN",108
12,1948,"CHI",40
12,1948,"CHN",12
12,1948,"COL",7
12,1948,"CUB",40
12,1948,"DEN",104
12,1948,"EGY",67
12,1948,"ESP",60
12,1948,"FIN",126
12,1948,"FRA",237
12,1948,"GBR",324
12,1948,"GRE",53
12,1948,"GUY",4
12,1948,"HUN",119
12,1948,"IND",44
12,1948,"IRI",24
12,1948,"IRL",64
12,1948,"IRQ",3
12,1948,"ISL",21
12,1948,"ITA",145
12,1948,"JAM",17
12,1948,"KOR",29
12,1948,"LBN",8
12,1948,"LIE",2
12,1948,"LUX",37
12,1948,"MEX",76
12,1948,"MLT",1
12,1948,"MON",4
12,1948,"MYA",5
12,1948,"NED",104
12,1948,"NOR",62
12,1948,"NZL",7
12,1948,"PAK",20
12,1948,"PAN",1
12,1948,"PER",34
12,1948,"PHI",17
12,1948,"POL",41
12,1948,"POR",33
12,1948,"PUR",9
12,1948,"RSA",33
12,1948,"SGP",1
12,1948,"SRI",7
12,1948,"SUI",129
12,1948,"SWE",148
12,1948,"SYR",1
12,1948,"TCH",64
12,1948,"TTO",5
12,1948,"TUR",56
12,1948,"URU",39
12,1948,"USA",226
12,1948,"VEN",1
12,1948,"YUG",47
13,1952,"AHO",1
13,1952,"ARG",97
13,1952,"AUS",73
13,1952,"AUT",101
13,1952,"BAH",3
13,1952,"BEL",88
13,1952,"BER",6
13,1952,"BRA",67
13,1952,"BUL",45
13,1952,"CAN",90
13,1952,"CHI",44
13,1952,"CHN",1
13,1952,"CUB",18
13,1952,"DEN",94
13,1952,"EGY",77
13,1952,"ESP",29
13,1952,"FIN",228
13,1952,"FRA",196
13,1952,"GBR",214
13,1952,"GER",178
13,1952,"GHA",7
13,1952,"GRE",31
13,1952,"GUA",21
13,1952,"GUY",1
